unifact_id,uni_name,country_name,year,teaching,research,citations,industry_income,international_outlook
168,University of Kaiserslautern,Germany,2014,,,,,
169,University of Kiel,Germany,2014,29.7,22.7,69.5,39.8,44.2
170,University of Konstanz,Germany,2014,27,30.7,59.9,59.5,58.9
171,University of Mannheim,Germany,2014,,,,,
172,University of Marburg,Germany,2014,,,,,
173,University of Munster,Germany,2014,30,18.2,70.7,39.5,45.1
174,University of Paderborn,Germany,2014,,,,,
175,University of Passau,Germany,2014,,,,,
176,University of Potsdam,Germany,2014,,,,,
177,University of Siegen,Germany,2014,,,,,
178,University of Stuttgart,Germany,2014,,,,,
179,University of Tubingen,Germany,2014,31.1,21.6,71.8,32.3,56.6
180,University of Wurzburg,Germany,2014,27.1,16,77,30.4,47.4
181,Bielefeld University,Germany,2015,27.5,19.1,52,37.4,48.6
182,Charite Universitatsmedizin Berlin,Germany,2015,,,,,
183,Free University of Berlin,Germany,2015,49.4,58,67.6,33.5,56.6
184,Goethe University Frankfurt,Germany,2015,28.1,22.4,78.8,38.8,55.6
185,Hamburg University of Technology,Germany,2015,,,,,
186,Heidelberg University,Germany,2015,52.6,45.4,81.4,41.6,63.1
187,Humboldt University of Berlin,Germany,2015,51.9,52.6,71.9,31.9,55.7
188,Johannes Gutenberg University of Mainz,Germany,2015,,,,,
189,Justus Liebig University Giessen,Germany,2015,,,,,
190,Karlsruhe Institute of Technology,Germany,2015,40.5,34.9,62.9,82.7,60.1
191,Leibniz University of Hanover,Germany,2015,,,,,
192,LMU Munich,Germany,2015,65.1,69.1,83,100,56.4
193,Otto von Guericke University of Magdeburg,Germany,2015,,,,,
194,Ruhr University Bochum,Germany,2015,31.5,22.5,42,47.4,53.6
195,RWTH Aachen University,Germany,2015,9,29.9,75,69.8,56.8
196,Technical University of Berlin,Germany,2015,42.2,32.3,47,63.4,70.4
197,Technical University of Darmstadt,Germany,2015,36.9,33.7,42,88.9,59.6
198,Technical University of Munich,Germany,2015,45.6,37.4,78.8,49,64
199,TU Dortmund University,Germany,2015,,,,,
200,TU Dresden,Germany,2015,39.8,42,70.8,99.5,44.7
201,Ulm University,Germany,2015,35,22,73,56.7,54.1
202,University of Bayreuth,Germany,2015,21.3,12.9,61.8,34.8,53.9
203,University of Bonn,Germany,2015,32.2,22.2,83.8,,54.8
204,University of Bremen,Germany,2015,33.9,27.6,55.7,46.3,53
